;Name;Set;Type;Class;Rarity;Cost;Attack;Health;Abilities;Artist;Text;Quote;Img_link;Subtype
1471;Hooded Acolyte;Whispers of the Old Gods;Minion;Priest;Common;4;3;6;['Increment attribute'];Adam Byrne;Whenever a character is healed, give your C'Thun +1/+1 (Wherever it is).;Wait, what kind of acolyte doesn't wear a hood?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/75/Hooded_Acolyte%2835192%29.png/revision/latest/scale-to-width-down/200?cb=20161202174757;
1472;Hooked Reaver;Kobolds and Catacombs;Minion;Warlock;Rare;4;4;4;['Battlecry', 'Increment attribute', 'Taunt'];A.J. Nazzaro;Battlecry: If you have 15 or less Health, gain +3/+3 and Taunt.;The hook is just an accessory. He can reave just fine without it.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/60/Hooked_Reaver%2877010%29.png/revision/latest/scale-to-width-down/200?cb=20171210122915;Demon
1473;Hooked Scimitar;Saviors of Uldum;Weapon;Rogue;Common;3;2;;['Combo', 'Increment attribute'];Grace Liu;Combo: Gain +2 Attack.;Oooooooooooow. I'm hooked on a scimitar!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/9e/Hooked_Scimitar%2890746%29.png/revision/latest/scale-to-width-down/200?cb=20200805170842;
1474;Horrendous Growth;Madness at the Darkmoon Faire;Minion;Neutral;Epic;2;2;2;['Corrupt'];Dave Allsop;Corrupt: Gain +1/+1. Can be Corrupted endlessly.;Stop picking at it! You’re only making it worse.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/80/Horrendous_Growth%28378840%29.png/revision/latest/scale-to-width-down/200?cb=20201113112908;
1475;Horrendous Growth (Corrupted);Madness at the Darkmoon Faire;Minion;Neutral;Epic;2;3;3;['Corrupt', 'Corrupted', 'Increment attribute'];Dave Allsop;CorruptedCorrupt: Gain +1/+1. Can be Corrupted endlessly.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/01/Horrendous_Growth%28378841%29.png/revision/latest/scale-to-width-down/200?cb=20201117193002;
1476;Hot Air Balloon;Descent of Dragons;Minion;Neutral;Common;1;1;2;['Increment attribute'];Ivan Fomin;At the start of your turn, gain +1 Health.;The Gadgetzan Pilgrim's Bounty parade is missing a float this year.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/6a/Hot_Air_Balloon%28151335%29.png/revision/latest/scale-to-width-down/200?cb=20191206182553;Mech
1477;Hot Spring Guardian;Journey to Un'Goro;Minion;Shaman;Common;3;2;4;['Battlecry', 'Restore Health', 'Taunt'];Gustav Schmidt;TauntBattlecry: Restore3 Health.;NONE SHALL PASS until at least an hour after eating.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/42/Hot_Spring_Guardian%2855564%29.png/revision/latest/scale-to-width-down/200?cb=20170407160645;Elemental
1478;Hotshot;Rastakhan's Rumble;Minion;Neutral;;5;5;5;[];Mike Azevedo;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/01/Hotshot%2890298%29.png/revision/latest/scale-to-width-down/200?cb=20181130141128;
1479;Hound;Classic;Minion;Hunter;Common;1;1;1;['Charge'];Linggar Bramanty;Charge;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/61/Hound%28290%29.png/revision/latest/scale-to-width-down/200?cb=20200805182326;Beast
1480;Houndmaster;Basic;Minion;Hunter;;4;4;3;['Battlecry', 'Increment attribute'];Dan Brereton;Battlecry: Give a friendly Beast +2/+2 and Taunt.;"""Who let the dogs out?"" he asks.  It's rhetorical.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/20/Houndmaster%28225%29.png/revision/latest/scale-to-width-down/200?cb=20200805175730;
1481;Houndmaster Shaw;The Witchwood;Minion;Hunter;Legendary;4;3;6;[];Zoltan Boros;Your other minions have Rush.;They’re good dogs, Tess.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/14/Houndmaster_Shaw%2889346%29.png/revision/latest/scale-to-width-down/200?cb=20200805175753;
1482;Howlfiend;Knights of the Frozen Throne;Minion;Warlock;Common;3;3;6;['Discard'];Konstantin Turovec;Whenever this minion takes damage, discard a random card.;The problem is that he carries those cards in his mouth.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/18/Howlfiend%2862894%29.png/revision/latest/scale-to-width-down/200?cb=20170810022020;Demon
1483;Howling Commander;Knights of the Frozen Throne;Minion;Paladin;Rare;3;2;2;['Battlecry', 'Put into hand'];Mike Azevedo;Battlecry: Draw a Divine Shield minion from your deck.;Enlistment in her battalion comes with several pairs of earplugs.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/95/Howling_Commander%2862836%29.png/revision/latest/scale-to-width-down/200?cb=20170809031930;
1484;Hozen Healer;Mean Streets of Gadgetzan;Minion;Neutral;Common;4;2;6;['Battlecry', 'Restore Health'];Sam Nielson;Battlecry: Restore a minion to full Health.;He didn't go to school for healing, but we keep losing all the good healers to Ratchet, so I guess we'll take him.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8b/Hozen_Healer%2849710%29.png/revision/latest/scale-to-width-down/200?cb=20161202172426;
1485;Huffer;Basic;Minion;Hunter;;3;4;2;['Charge'];Dave Allsop;Charge;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3d/Huffer%28369%29.png/revision/latest/scale-to-width-down/200?cb=20200805180626;Beast
1486;Huge Toad;The League of Explorers;Minion;Neutral;Common;2;3;2;['Deal damage', 'Deathrattle'];Matt Dixon;Deathrattle: Deal 1 damage to a random enemy.;Deals damage when he croaks.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/19/Huge_Toad%2827219%29.png/revision/latest/scale-to-width-down/200?cb=20160324154457;Beast
1487;Hulking Overfiend;Demon Hunter Initiate;Minion;Demon Hunter;Rare;8;5;10;['Rush'];Bayard Wu;Rush. After this attacks and kills a minion, it may attack again.;To hulk, perhaps, to fiend: ay, there's the rub.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/97/Hulking_Overfiend%28210684%29.png/revision/latest/scale-to-width-down/200?cb=20200327173121;Demon
1488;Humility;Basic;Spell;Paladin;;1;;;['Set attribute'];Daren Bader;Change a minion's Attack to 1.;"This card makes something really damp.  Oh wait.  That's ""Humidity.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cd/Humility%28189%29.png/revision/latest/scale-to-width-down/200?cb=20160323210125;
1489;Humongous Razorleaf;Journey to Un'Goro;Minion;Neutral;Rare;3;4;8;"[""Can't attack""]";Tooth;Can't attack.;Loves goblins. In a light cream sauce.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/96/Humongous_Razorleaf%2855582%29.png/revision/latest/scale-to-width-down/200?cb=20170407185740;
1490;Hungry Crab;Classic;Minion;Neutral;Epic;1;1;2;['Battlecry', 'Destroy', 'Increment attribute'];Jaemin Kim;Battlecry: Destroy a Murloc and gain +2/+2.;Murloc.  It's what's for dinner.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0f/Hungry_Crab%28660%29.png/revision/latest/scale-to-width-down/200?cb=20160323225107;Beast
1491;Hungry Dragon;Blackrock Mountain;Minion;Neutral;Common;4;5;6;['Battlecry', 'Summon'];John Polidora;Battlecry: Summon a random 1-Cost minion for your opponent.;Hungry Hungry Dragon is NOT a fun game.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ad/Hungry_Dragon%2814436%29.png/revision/latest/scale-to-width-down/200?cb=20160324182713;Dragon
1492;Hungry Ettin;Kobolds and Catacombs;Minion;Neutral;Rare;6;4;10;['Battlecry', 'Summon', 'Taunt'];Dave Allsop;TauntBattlecry: Summon a random 2-Cost minion for your opponent.;How can he be hungry… if he's Ettin!?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a3/Hungry_Ettin%2876917%29.png/revision/latest/scale-to-width-down/200?cb=20171209003640;
1493;Hunter's Mark;Basic;Spell;Hunter;;2;;;['Set attribute'];Jimmy Lo;Change a minion's Health to 1.;Never play 'Hide and Go Seek' with a  Hunter.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d6/Hunter%27s_Mark%2822%29.png/revision/latest/scale-to-width-down/200?cb=20200805213003;
1494;Hunter's Pack;Saviors of Uldum;Spell;Hunter;Common;3;;;['Generate'];L. Lullabi & K. Turovec;Add a random Hunter Beast, Secret, and weapon to your hand.;Oh look! It's a trap!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d5/Hunter%27s_Pack%2890737%29.png/revision/latest/scale-to-width-down/200?cb=20200805211950;
1495;Hunting Mastiff;The Witchwood;Minion;Hunter;Common;2;2;1;['Echo', 'Rush'];Konstantin Turovec;EchoRush;"""Shh! You're going to start a howl!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a7/Hunting_Mastiff%2889361%29.png/revision/latest/scale-to-width-down/200?cb=20200805181641;Beast
1496;Hunting Party;Rise of Shadows;Spell;Hunter;Rare;5;;;['Copy', 'Generate'];Jim Nelson;Copy all Beasts in your hand.;Not sure I'd call it a good party if everyone ends up beside themselves.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2b/Hunting_Party%2890666%29.png/revision/latest/scale-to-width-down/200?cb=20200805211600;
1497;Huntress;Ashes of Outland;Minion;Neutral;;1;1;1;[];Eva Widermann;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/34/Huntress%28211084%29.png/revision/latest/scale-to-width-down/200?cb=20201007140303;
1498;Hydrologist;Journey to Un'Goro;Minion;Paladin;Common;2;2;2;['Battlecry', 'Discover'];Matt Dixon;Battlecry: Discover a Secret.;Murloc hydrologists are pretty rare. Most murloc undergrads pick computer science.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/1d/Hydrologist%2855479%29.png/revision/latest/scale-to-width-down/200?cb=20170407141608;Murloc
1499;Hyena;Classic;Minion;Hunter;;2;2;2;[];Andrew Robinson;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/1c/Hyena%28689%29.png/revision/latest/scale-to-width-down/200?cb=20200805181706;Beast
1500;Hyena (Hyena Alpha);Saviors of Uldum;Minion;Hunter;;2;2;2;[];Peter Stapleton;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c7/Hyena%2890850%29.png/revision/latest/scale-to-width-down/200?cb=20200805181741;Beast
1501;Hyena Alpha;Saviors of Uldum;Minion;Hunter;Rare;4;3;3;['Battlecry', 'Summon'];Peter Stapleton;Battlecry: If you control a Secret, summon two 2/2 Hyenas.;Everything the sun touches is ours—so long as it's already dead.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a4/Hyena_Alpha%2890817%29.png/revision/latest/scale-to-width-down/200?cb=20200805175816;Beast
1502;Hyldnir Frostrider;Knights of the Frozen Throne;Minion;Neutral;Common;3;4;4;['Battlecry', 'Freeze'];Marcelo Vignali;Battlecry: Freeze your other minions.;Don't be fooled, that polar bear's the one in charge.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0e/Hyldnir_Frostrider%2862920%29.png/revision/latest/scale-to-width-down/200?cb=20170809000252;
1503;I Am Murloc;Hall of Fame;Spell;Neutral;Common;4;;;['Summon'];Samwise Didier;Summon three, four, or five 1/1 Murlocs.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fc/I_Am_Murloc%28714%29.png/revision/latest/scale-to-width-down/200?cb=20170410162350;
1504;I Know a Guy;Mean Streets of Gadgetzan;Spell;Warrior;Common;1;;;['Discover'];Kan Lui;Discover a Taunt minion.;Well… a guy who knows a guy.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/34/I_Know_a_Guy%2849623%29.png/revision/latest/scale-to-width-down/200?cb=20161202173410;
1505;Ice Barrier;Classic;Spell;Mage;Common;3;;;['Gain Armor', 'Secret'];Alex Garner;Secret: When your hero is attacked, gain 8 Armor.;This is Rank 1.  Rank 2 is Chocolate Milk Barrier.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/45/Ice_Barrier%28672%29.png/revision/latest/scale-to-width-down/200?cb=20160323220308;
1506;Ice Block;Hall of Fame;Spell;Mage;Epic;3;;;['Immune', 'Secret'];Carl Frank;Secret: When your hero takes fatal damage, prevent it and become Immune this turn.;Ice is nice, and will suffice!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/80/Ice_Block%2828%29.png/revision/latest/scale-to-width-down/200?cb=20190906064846;
1507;Ice Breaker;Knights of the Frozen Throne;Weapon;Shaman;Rare;3;1;;['Destroy'];Konstantin Turovec;Destroy any Frozen minion damaged by this.;A great way to end a conversation.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5c/Ice_Breaker%2861813%29.png/revision/latest/scale-to-width-down/200?cb=20200805170909;
1508;Ice Cream Peddler;Rastakhan's Rumble;Minion;Neutral;Epic;4;3;5;['Battlecry', 'Gain Armor'];Matt Dixon;Battlecry: If you control a Frozen minion, gain 8 Armor.;I scream, you scream, we all scream when we see a Freeze Mage.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/8d/Ice_Cream_Peddler%2890270%29.png/revision/latest/scale-to-width-down/200?cb=20181130150428;
1509;Ice Fishing;Knights of the Frozen Throne;Spell;Shaman;Common;2;;;['Put into hand'];Jaemin Kim;Draw 2 Murlocs from your deck.;Glow fish, war fish... blow fish, more fish...;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/63/Ice_Fishing%2862884%29.png/revision/latest/scale-to-width-down/200?cb=20170810022851;
1510;Ice Lance;Hall of Fame;Spell;Mage;Common;1;;;['Deal damage', 'Freeze'];Alex Horley Orlandelli;Freeze a character. If it was already Frozen, deal 4 damage instead.;"The trick is not to break the lance.  Otherwise, you have ""Ice Pieces.""  Ice Pieces aren't as effective.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c8/Ice_Lance%28188%29.png/revision/latest/scale-to-width-down/200?cb=20170408155636;
1511;Ice Rager;The Grand Tournament;Minion;Neutral;Common;3;5;2;[];Anton Zemskov;He's a lot cooler than Magma Rager.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/cd/Ice_Rager%2822392%29.png/revision/latest/scale-to-width-down/200?cb=20170725161206;Elemental
1512;Ice Shard;Galakrond's Awakening;Minion;Neutral;;1;1;1;['Freeze'];Max Grecke;Freeze any character damaged by this minion.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/3e/Ice_Shard%28184979%29.png/revision/latest/scale-to-width-down/200?cb=20201003110506;Elemental
1513;Ice Walker;Knights of the Frozen Throne;Minion;Mage;Rare;2;1;3;['Freeze', 'Modify Hero Power'];James Ryman;Your Hero Power also Freezes the target.;Ice Walker you say? He doesn't have feet!;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/4/44/Ice_Walker%2862848%29.png/revision/latest/scale-to-width-down/200?cb=20170809030359;Elemental
1514;Icehowl;The Grand Tournament;Minion;Neutral;Legendary;9;10;10;"[""Can't attack heroes"", 'Charge']";John Polidora;ChargeCan't attack heroes.;This massive yeti just closes his eyes and charges at the nearest target.  The nearest Target is a couple blocks away and has sick deals on skateboards.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/68/Icehowl%2822338%29.png/revision/latest/scale-to-width-down/200?cb=20161202182447;
1515;Icicle;Classic;Spell;Mage;Epic;2;;;['Deal damage', 'Draw cards'];Arthur Gimaldinov;Deal 2 damage to a minion. If it's Frozen, draw a card.;This may appear weak at frost glance, but it's actually a very ice spell.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/08/Icicle%2890139%29.png/revision/latest/scale-to-width-down/200?cb=20190906064925;
1516;Icky Tentacle;Whispers of the Old Gods;Minion;Warlock;;1;1;1;[];Arthur Bozonnet;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/00/Icky_Tentacle%2835300%29.png/revision/latest/scale-to-width-down/200?cb=20160426222911;
1517;Icy Touch;Knights of the Frozen Throne;Hero Power;Mage;;2;;;['Deal damage', 'Summon'];John Avon;Hero PowerDeal 1 damage. If this kills a minion, summon a Water Elemental.;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f1/Icy_Touch%2862843%29.png/revision/latest/scale-to-width-down/200?cb=20170809031328;
1518;Idol of Y'Shaarj;Madness at the Darkmoon Faire;Spell;Priest;Epic;8;;;['Copy', 'Set attribute', 'Summon'];Agatha Zhou;Summon a 10/10 copy of a minion in your deck.;Without a tongue, it speaks in seven. Without a voice, its echo lingers forever.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/50/Idol_of_Y%27Shaarj%28388990%29.png/revision/latest/scale-to-width-down/200?cb=20201113112252;
1519;Igneous Elemental;Journey to Un'Goro;Minion;Neutral;Common;3;2;3;['Deathrattle', 'Generate'];Tyler West Studios;Deathrattle: Add two 1/2 Elementals to your hand.;"We wanted to name him ""Ingenious Elemental"", but he just wasn't that bright.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a2/Igneous_Elemental%2855559%29.png/revision/latest/scale-to-width-down/200?cb=20170407190742;Elemental
1520;Il'gynoth;Madness at the Darkmoon Faire;Minion;Demon Hunter;Legendary;4;2;6;['Deal damage', 'Lifesteal'];James Ryman;LifestealYour Lifesteal damages the enemy hero instead of healing you.;Well, that just sounds like damage with extra steps.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ea/Il%27gynoth%28378830%29.png/revision/latest/scale-to-width-down/200?cb=20201113112530;
1521;Illidari Felblade;Demon Hunter Initiate;Minion;Demon Hunter;Rare;4;5;3;['Immune', 'Increment attribute', 'Outcast', 'Rush'];Angelica Alieva;RushOutcast: Gain Immune this turn.;A whirling dervish of demonic devastation.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/2c/Illidari_Felblade%28210694%29.png/revision/latest/scale-to-width-down/200?cb=20200327173125;
1522;Illidari Initiate;Basic;Minion;Demon Hunter;;1;1;1;['Rush'];L. Lullabi & K. Turovec;Rush;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/9/9b/Illidari_Initiate%28210738%29.png/revision/latest/scale-to-width-down/200?cb=20200327173129;
1523;Illidari Satyr;Basic;Minion;Demon Hunter;;2;2;2;[];Unknown artist;[data page];;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/50/Illidari_Satyr%28210708%29.png/revision/latest/scale-to-width-down/200?cb=20200327173133;Demon
1524;Illuminator;Goblins vs Gnomes;Minion;Neutral;Rare;3;2;4;['Restore Health'];Jim Nelson;If you control a Secret at the end of your turn, restore 4 Health to your hero.;"""LUMOS!"" is not what they yell. What do you think this is, Hogwarts?";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/e8/Illuminator%2812214%29.png/revision/latest/scale-to-width-down/200?cb=20160622170401;
1525;Immolation Aura;Ashes of Outland;Spell;Demon Hunter;Common;2;;;['Deal damage'];L. Lullabi & K. Turovec;Deal 1 damage to all minions twice.;If you can't take the heat, stop standing in the fire.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/7b/Immolation_Aura%28210834%29.png/revision/latest/scale-to-width-down/200?cb=20201007140325;
1526;Immortal Prelate;Rastakhan's Rumble;Minion;Paladin;Epic;2;1;3;['Deathrattle', 'Shuffle into deck'];Maria Trepalina;Deathrattle: Shuffle this into your deck. It keeps any enchantments.;She protec.She attac.But most importantly,she come bac.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/aa/Immortal_Prelate%2890152%29.png/revision/latest/scale-to-width-down/200?cb=20181130115803;
1527;Imp (Fiendish Circle);The Witchwood;Minion;Warlock;;1;1;1;[];Jaemin Kim;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c9/Imp%2889479%29.png/revision/latest/scale-to-width-down/200?cb=20180412173611;Demon
1528;Imp (Imp Gang Boss);Blackrock Mountain;Minion;Warlock;;1;1;1;[];Jaemin Kim;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/d/d0/Imp%2814642%29.png/revision/latest/scale-to-width-down/200?cb=20160324181953;Demon
1529;Imp (Imp Master);Classic;Minion;Neutral;;1;1;1;[];Mark Gibbons;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/fd/Imp%28321%29.png/revision/latest/scale-to-width-down/200?cb=20160426222538;Demon
1530;Imp (Imp-losion);Goblins vs Gnomes;Minion;Warlock;;1;1;1;[];Jaemin Kim;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Imp%2812339%29.png/revision/latest/scale-to-width-down/200?cb=20160324172613;Demon
1531;Imp (Rise of Shadows);Rise of Shadows;Minion;Neutral;;1;1;1;[];Konstantin Turovec;See this card on Hearthpwn;[data page];https://static.wikia.nocookie.net/hearthstone_gamepedia/images/2/26/Imp%2891036%29.png/revision/latest/scale-to-width-down/200?cb=20191105165244;Demon
1532;Imp Gang Boss;Blackrock Mountain;Minion;Warlock;Common;3;2;4;['Summon'];Steve Prescott;Whenever this minion takes damage, summon a 1/1 Imp.;"His imp gang likes to sneak into Stormwind to spraypaint ""Ragnaros Rulez"" on the Mage Tower.";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/bb/Imp_Gang_Boss%2814443%29.png/revision/latest/scale-to-width-down/200?cb=20160324181938;Demon
1533;Imp Master;Classic;Minion;Neutral;Rare;3;1;5;['Deal damage', 'Summon'];Mark Gibbons;At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp.;She would enjoy the job a lot more if she just could get the imps to QUIT BITING HER.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/14/Imp_Master%28178%29.png/revision/latest/scale-to-width-down/200?cb=20161202180810;
1534;Imp-losion;Goblins vs Gnomes;Spell;Warlock;Rare;4;;;['Deal damage', 'Summon'];Jaemin Kim;Deal 2-4 damage to a minion. Summon a 1/1 Imp for each damage dealt.;The shrapnel is waaaaay worse than the explosion.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/e/ef/Imp-losion%2812302%29.png/revision/latest/scale-to-width-down/200?cb=20160324172547;
1535;Impbalming;Saviors of Uldum;Spell;Warlock;Rare;4;;;['Destroy', 'Generate', 'Shuffle into deck'];Dave Allsop;Destroy a minion. Shuffle 3 Worthless Imps into your deck.;With your complexion, Imp Balm is a great demonizer.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/f/f2/Impbalming%2890704%29.png/revision/latest/scale-to-width-down/200?cb=20191105172552;
1536;Impcaster;Ashes of Outland;Minion;Neutral;;1;1;1;['Spell Damage'];Zero Yue;Spell Damage +1;See this card on Hearthpwn;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/1/15/Impcaster%28211049%29.png/revision/latest/scale-to-width-down/200?cb=20201007140335;Demon
1537;Impferno;Rise of Shadows;Spell;Warlock;Rare;3;;;['Deal damage', 'Increment attribute'];Christopher Hayes;Give your Demons +1 Attack. Deal 1 damage to all enemy minions.;Imps don't get mad when you set them on fire. They think it's cozy.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/69/Impferno%2890635%29.png/revision/latest/scale-to-width-down/200?cb=20191103185111;
1538;Imprisoned Antaen;Ashes of Outland;Minion;Demon Hunter;Rare;6;10;6;['Deal damage', 'Dormant'];Rafael Zanchetin;Dormant for 2 turns. When this awakens, deal 10 damage randomly split among all enemies.;Can I get a pair of size XXXXXL manacles?;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/0/0a/Imprisoned_Antaen%28210700%29.png/revision/latest/scale-to-width-down/200?cb=20200409205943;Demon
1539;Imprisoned Felmaw;Ashes of Outland;Minion;Hunter;Common;2;5;4;['Dormant', 'Force attack'];James Ryman;Dormant for 2 turns. When this awakens, attack a random enemy.;It doesn't care who woke it up, someone's getting bitten.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/a2/Imprisoned_Felmaw%28210746%29.png/revision/latest/scale-to-width-down/200?cb=20200805181808;Demon
1540;Imprisoned Gan'arg;Ashes of Outland;Minion;Warrior;Common;1;2;2;['Dormant', 'Equip', 'Generate'];Ivan Fomin;Dormant for 2 turns. When this awakens, equip a 3/2 Axe.;Factory Direct Fiery War Axe. Please allow two turns for delivery.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/7/70/Imprisoned_Gan%27arg%28210849%29.png/revision/latest/scale-to-width-down/200?cb=20201007140348;Demon
1541;Imprisoned Homunculus;Ashes of Outland;Minion;Priest;Common;1;2;5;['Dormant', 'Taunt'];Matt Dixon;Dormant for 2 turns.Taunt;He got a time out for excessive vulgarity.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/b4/Imprisoned_Homunculus%28210801%29.png/revision/latest/scale-to-width-down/200?cb=20201007140358;Demon
1542;Imprisoned Observer;Ashes of Outland;Minion;Mage;Rare;3;4;5;['Deal damage', 'Dormant'];Melvin Chan;Dormant for 2 turns. When this awakens, deal 2 damage to all enemy minions.;Currently serving two turns on charges of aggravated minion slaughter.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/a/ab/Imprisoned_Observer%28210681%29.png/revision/latest/scale-to-width-down/200?cb=20201007140410;Demon
1543;Imprisoned Satyr;Ashes of Outland;Minion;Druid;Common;3;3;3;['Dormant', 'Increment attribute', 'Modify cost'];Mike Sass;Dormant for 2 turns. When this awakens, reduce the Cost of a random minion in your hand by (5).;"""C'mon down to Illhoof's bargain bin! When the satyr's free, he'll lower your fee!""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/5/5a/Imprisoned_Satyr%28210678%29.png/revision/latest/scale-to-width-down/200?cb=20201007140422;Demon
1544;Imprisoned Scrap Imp;Ashes of Outland;Minion;Warlock;Rare;2;3;3;['Dormant', 'Increment attribute'];Dave Allsop;Dormant for 2 turns. When this awakens, give all minions in your hand +2/+1.;His impish imports imply impressively impetuous impropriety.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/c/c8/Imprisoned_Scrap_Imp%28210716%29.png/revision/latest/scale-to-width-down/200?cb=20200519004304;Demon
1545;Imprisoned Sungill;Ashes of Outland;Minion;Paladin;Rare;1;2;1;['Dormant', 'Summon'];Sam Nielson;Dormant for 2 turns. When this awakens, summon two 1/1 Murlocs.;Imprisoned for ten thousand years! Not because it's a demon. Because of the dancing.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/6/66/Imprisoned_Sungill%28210778%29.png/revision/latest/scale-to-width-down/200?cb=20201007140434;Murloc
1546;Imprisoned Vilefiend;Ashes of Outland;Minion;Neutral;Common;2;3;5;['Dormant', 'Rush'];Andrew Hou;Dormant for 2 turns.Rush;If you do the time, you gotta make up the time.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/b/ba/Imprisoned_Vilefiend%28211224%29.png/revision/latest/scale-to-width-down/200?cb=20201007140445;Demon
1547;Improve Morale;Rise of Shadows;Spell;Warrior;Common;1;;;['Deal damage', 'Generate'];Matt Dixon;Deal 1 damage to a minion.If it is survives, add a Lackey to your hand.;"""The beatings will continue until MY morale improves.""";https://static.wikia.nocookie.net/hearthstone_gamepedia/images/3/37/Improve_Morale%2890558%29.png/revision/latest/scale-to-width-down/200?cb=20191103185512;
1548;In Formation!;Scholomance Academy;Spell;Warrior;Common;2;;;['Generate'];Anton Zemskov;Add 2 random Taunt minions to your hand.;None can doubt the strength of the Scholomance student body.;https://static.wikia.nocookie.net/hearthstone_gamepedia/images/8/82/In_Formation%21%28329998%29.png/revision/latest/scale-to-width-down/200?cb=20200911160246;
